date,weekday,weekday_name,is_holiday,holiday_name,avg_temp_c,min_temp_c,max_temp_c,요일_월,요일_화,요일_수,요일_목,요일_금,요일_토,요일_일,월_sin,월_cos,일_sin,일_cos,주말여부,휴일여부,평일여부,봄,여름,가을,겨울
2025-01-01,2,수,1,1월 1일,2.6,-3.8,10.4,0,0,1,0,0,0,0,0.4999999999999999,0.8660254037844387,0.20129852008866,0.9795299412524944,0,1,0,0,0,0,1
2025-01-02,3,목,0,,1.8,-2.7,8.4,0,0,0,1,0,0,0,0.4999999999999999,0.8660254037844387,0.3943558551133185,0.9189578116202306,0,0,1,0,0,0,1
2025-01-03,4,금,0,,0.3,-4.1,5.5,0,0,0,0,1,0,0,0.4999999999999999,0.8660254037844387,0.5712682150947923,0.8207634412072763,0,0,1,0,0,0,1
2025-01-04,5,토,1,토요일,0.6,-3.6,7.0,0,0,0,0,0,1,0,0.4999999999999999,0.8660254037844387,0.72479278722912,0.6889669190756866,1,1,0,0,0,0,1
2025-01-05,6,일,1,일요일,2.2,-2.6,6.3,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.8486442574947509,0.5289640103269624,1,1,0,0,0,0,1
2025-01-06,0,월,0,,2.0,-1.9,5.9,1,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9377521321470804,0.3473052528448203,0,0,1,0,0,0,1
2025-01-07,1,화,0,,-1.5,-4.6,3.1,0,1,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9884683243281114,0.1514277775045767,0,0,1,0,0,0,1
2025-01-08,2,수,0,,-1.7,-4.4,0.8,0,0,1,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0,0,1,0,0,0,1
2025-01-09,3,목,0,,-8.1,-12.4,-4.3,0,0,0,1,0,0,0,0.4999999999999999,0.8660254037844387,0.9680771188662044,-0.2506525322587204,0,0,1,0,0,0,1
2025-01-10,4,금,0,,-6.6,-12.9,-0.5,0,0,0,0,1,0,0,0.4999999999999999,0.8660254037844387,0.8978045395707416,-0.4403941515576344,0,0,1,0,0,0,1
2025-01-11,5,토,1,토요일,-3.0,-6.1,0.5,0,0,0,0,0,1,0,0.4999999999999999,0.8660254037844387,0.7907757369376989,-0.6121059825476626,1,1,0,0,0,0,1
2025-01-12,6,일,1,일요일,-1.9,-7.5,4.2,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,0.6513724827222223,-0.758758122692791,1,1,0,0,0,0,1
2025-01-13,0,월,0,,1.1,-5.6,6.3,1,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.485301962531081,-0.8743466161445821,0,0,1,0,0,0,1
2025-01-14,1,화,0,,4.9,1.5,10.7,0,1,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.299363122973358,-0.9541392564000488,0,0,1,0,0,0,1
2025-01-15,2,수,0,,-1.8,-4.2,2.1,0,0,1,0,0,0,0,0.4999999999999999,0.8660254037844387,0.1011683219874327,-0.994869323391895,0,0,1,0,0,0,1
2025-01-16,3,목,0,,0.9,-4.6,6.7,0,0,0,1,0,0,0,0.4999999999999999,0.8660254037844387,-0.101168321987432,-0.9948693233918952,0,0,1,0,0,0,1
2025-01-17,4,금,0,,1.3,-2.8,7.5,0,0,0,0,1,0,0,0.4999999999999999,0.8660254037844387,-0.2993631229733582,-0.9541392564000488,0,0,1,0,0,0,1
2025-01-18,5,토,1,토요일,1.0,-5.2,9.1,0,0,0,0,0,1,0,0.4999999999999999,0.8660254037844387,-0.4853019625310808,-0.8743466161445822,1,1,0,0,0,0,1
2025-01-19,6,일,1,일요일,1.7,-4.8,10.1,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,-0.651372482722222,-0.7587581226927911,1,1,0,0,0,0,1
2025-01-20,0,월,0,,2.8,-1.4,8.5,1,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,-0.7907757369376986,-0.6121059825476627,0,0,1,0,0,0,1
2025-01-21,1,화,0,,2.5,-2.8,9.4,0,1,0,0,0,0,0,0.4999999999999999,0.8660254037844387,-0.8978045395707417,-0.4403941515576342,0,0,1,0,0,0,1
2025-01-22,2,수,0,,3.4,-1.9,9.4,0,0,1,0,0,0,0,0.4999999999999999,0.8660254037844387,-0.968077118866204,-0.2506525322587213,0,0,1,0,0,0,1
2025-01-23,3,목,0,,2.9,-2.4,10.7,0,0,0,1,0,0,0,0.4999999999999999,0.8660254037844387,-0.9987165071710528,-0.0506491688387135,0,0,1,0,0,0,1
2025-01-24,4,금,0,,2.6,-4.1,10.4,0,0,0,0,1,0,0,0.4999999999999999,0.8660254037844387,-0.9884683243281114,0.1514277775045766,0,0,1,0,0,0,1
2025-01-25,5,토,1,토요일,4.3,-2.7,11.6,0,0,0,0,0,1,0,0.4999999999999999,0.8660254037844387,-0.9377521321470804,0.3473052528448203,1,1,0,0,0,0,1
2025-01-26,6,일,1,일요일,5.2,1.7,8.7,0,0,0,0,0,0,1,0.4999999999999999,0.8660254037844387,-0.848644257494751,0.5289640103269624,1,1,0,0,0,0,1
2025-01-27,0,월,1,임시공휴일,0.3,-2.4,3.8,1,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,-0.72479278722912,0.6889669190756865,0,1,0,0,0,0,1
2025-01-28,1,화,1,설날 전날,-1.4,-2.7,1.8,0,1,0,0,0,0,0,0.4999999999999999,0.8660254037844387,-0.5712682150947924,0.8207634412072763,0,1,0,0,0,0,1
2025-01-29,2,수,1,설날,-2.6,-5.5,0.6,0,0,1,0,0,0,0,0.4999999999999999,0.8660254037844387,-0.3943558551133187,0.9189578116202306,0,1,0,0,0,0,1
2025-01-30,3,목,1,설날 다음 날,-1.8,-6.5,3.9,0,0,0,1,0,0,0,0.4999999999999999,0.8660254037844387,-0.2012985200886611,0.9795299412524944,0,1,0,0,0,0,1
2025-01-31,4,금,0,,1.9,-3.0,8.4,0,0,0,0,1,0,0,0.4999999999999999,0.8660254037844387,-2.4492935982947064e-16,1.0,0,0,1,0,0,0,1
2025-02-01,5,토,1,토요일,3.5,1.2,7.8,0,0,0,0,0,1,0,0.8660254037844386,0.5000000000000001,0.2225209339563144,0.9749279121818236,1,1,0,0,0,0,1
2025-02-02,6,일,1,일요일,2.4,-1.3,9.1,0,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001,0.4338837391175581,0.9009688679024191,1,1,0,0,0,0,1
2025-02-03,0,월,0,,-1.4,-6.0,1.9,1,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6234898018587335,0.7818314824680298,0,0,1,0,0,0,1
2025-02-04,1,화,0,,-6.2,-8.2,-2.3,0,1,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,1,0,0,0,1
2025-02-05,2,수,0,,-6.4,-10.6,-1.6,0,0,1,0,0,0,0,0.8660254037844386,0.5000000000000001,0.9009688679024191,0.4338837391175582,0,0,1,0,0,0,1
2025-02-06,3,목,0,,-4.1,-10.2,2.2,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,0.2225209339563144,0,0,1,0,0,0,1
2025-02-07,4,금,0,,-6.4,-9.8,-0.5,0,0,0,0,1,0,0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0,0,1,0,0,0,1
2025-02-08,5,토,1,토요일,-6.6,-11.3,-1.0,0,0,0,0,0,1,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,1,1,0,0,0,0,1
2025-02-09,6,일,1,일요일,-3.9,-9.8,2.6,0,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001,0.9009688679024191,-0.433883739117558,1,1,0,0,0,0,1
2025-02-10,0,월,0,,-2.6,-7.6,3.0,1,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680299,-0.6234898018587335,0,0,1,0,0,0,1
2025-02-11,1,화,0,,0.3,-7.1,9.3,0,1,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.6234898018587339,-0.7818314824680295,0,0,1,0,0,0,1
