month,CO2ppm,Temp,Humid,VPD,Chl_a,Chl_b,TChl,Car,Chl_a_b,TCh-Car,ABS-RC,Dio-RC,Tro-RC,Eto-RC,PI_abs,DF_abs,SFI_abs,Fv-Fm,Leaf_ExtractionYield,Root_ExtractionYield,Leaf_TPC,Root_TPC,Leaf_TFC,Root_TFC
5,381.681033,16.9186391,83.1307859,1.532511519,8.79,2.22,11,2.97,3.97,3.7,1.57,0.267,1.303,0.53,2.128,0.328,0.215,0.83,19,18.9,7.476,6.27,5.217,0.861
5,374.463441,16.92212365,83.0967217,1.532867724,8.99,2.56,11.55,3.09,3.52,3.74,1.701,0.297,1.405,0.576,1.935,0.287,0.199,0.826,20.1,19.6,7.369,6.396,5.257,0.836
5,371.850683,16.93025569,82.48800326,1.53458445,9.66,2.44,12.1,3.11,3.96,3.89,1.637,0.282,1.355,0.613,2.421,0.384,0.229,0.828,20.7,20.4,7.369,6.396,5.242,0.841
5,400.4752024,16.92151122,82.08163156,1.534512079,9.33,2.45,11.79,3.13,3.8,3.77,1.341,0.217,1.124,0.507,3.187,0.503,0.282,0.839,19,18.9,7.476,6.27,5.217,0.861
5,381.3607878,16.92132309,83.88866594,1.531475061,10.53,2.58,13.11,3.37,4.08,3.9,1.629,0.273,1.355,0.539,2.012,0.304,0.203,0.832,20.1,19.6,7.369,6.396,5.257,0.836
5,380.9809028,16.93118118,84.09961406,1.531968389,8.79,2.22,11,2.97,3.97,3.7,1.57,0.267,1.303,0.53,2.128,0.328,0.215,0.83,20.7,20.4,7.369,6.396,5.242,0.841
5,384.8366264,16.92686493,83.31259955,1.53291401,8.99,2.56,11.55,3.09,3.52,3.74,1.701,0.297,1.405,0.576,1.935,0.287,0.199,0.826,19,18.9,7.476,6.27,5.217,0.861
5,379.9545729,16.91881215,81.9886525,1.534435431,9.66,2.44,12.1,3.11,3.96,3.89,1.637,0.282,1.355,0.613,2.421,0.384,0.229,0.828,20.1,19.6,7.369,6.396,5.257,0.836
5,387.2164309,16.90757219,81.16159226,1.534850812,9.33,2.45,11.79,3.13,3.8,3.77,1.341,0.217,1.124,0.507,3.187,0.503,0.282,0.839,20.7,20.4,7.369,6.396,5.242,0.841
5,413.3267729,16.92019323,83.02754028,1.53281757,10.53,2.58,13.11,3.37,4.08,3.9,1.629,0.273,1.355,0.539,2.012,0.304,0.203,0.832,19,18.9,7.476,6.27,5.217,0.861
