hour,time_slot,시간_sin,시간_cos,평일_출근시간,평일_퇴근시간,점심시간,심야시간,주간시간
0,00-01시,0.0,1.0,0,0,0,1,0
1,01-02시,0.25881904510252074,0.9659258262890683,0,0,0,1,0
2,02-03시,0.49999999999999994,0.8660254037844387,0,0,0,1,0
3,03-04시,0.7071067811865475,0.7071067811865476,0,0,0,1,0
4,04-05시,0.8660254037844386,0.5000000000000001,0,0,0,1,0
5,05-06시,0.9659258262890683,0.25881904510252074,0,0,0,1,0
6,06-07시,1.0,6.123233995736766e-17,0,0,0,0,1
7,07-08시,0.9659258262890683,-0.25881904510252063,1,0,0,0,1
8,08-09시,0.8660254037844387,-0.49999999999999983,1,0,0,0,1
9,09-10시,0.7071067811865476,-0.7071067811865475,1,0,0,0,1
10,10-11시,0.49999999999999994,-0.8660254037844387,0,0,0,0,1
11,11-12시,0.258819045102521,-0.9659258262890682,0,0,1,0,1
12,12-13시,1.2246467991473532e-16,-1.0,0,0,1,0,1
13,13-14시,-0.2588190451025208,-0.9659258262890683,0,0,1,0,1
14,14-15시,-0.4999999999999998,-0.8660254037844388,0,0,0,0,1
15,15-16시,-0.7071067811865471,-0.7071067811865479,0,0,0,0,1
16,16-17시,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1
17,17-18시,-0.9659258262890683,-0.25881904510252063,0,1,0,0,1
18,18-19시,-1.0,-1.8369701987210297e-16,0,1,0,0,1
19,19-20시,-0.9659258262890684,0.2588190451025203,0,1,0,0,1
20,20-21시,-0.8660254037844386,0.5000000000000001,0,0,0,0,1
21,21-22시,-0.7071067811865477,0.7071067811865474,0,0,0,0,1
22,22-23시,-0.5000000000000004,0.8660254037844384,0,0,0,0,0
23,23-00시,-0.25881904510252157,0.9659258262890681,0,0,0,0,0
