date,weekday,weekday_name,is_holiday,holiday_name,avg_temp_c,min_temp_c,max_temp_c
2025-01-01,2,수,1,1월 1일,2.6,-3.8,10.4
2025-01-02,3,목,0,,1.8,-2.7,8.4
2025-01-03,4,금,0,,0.3,-4.1,5.5
2025-01-04,5,토,1,토요일,0.6,-3.6,7
2025-01-05,6,일,1,일요일,2.2,-2.6,6.3
2025-01-06,0,월,0,,2,-1.9,5.9
2025-01-07,1,화,0,,-1.5,-4.6,3.1
2025-01-08,2,수,0,,-1.7,-4.4,0.8
2025-01-09,3,목,0,,-8.1,-12.4,-4.3
2025-01-10,4,금,0,,-6.6,-12.9,-0.5
2025-01-11,5,토,1,토요일,-3,-6.1,0.5
2025-01-12,6,일,1,일요일,-1.9,-7.5,4.2
2025-01-13,0,월,0,,1.1,-5.6,6.3
2025-01-14,1,화,0,,4.9,1.5,10.7
2025-01-15,2,수,0,,-1.8,-4.2,2.1
2025-01-16,3,목,0,,0.9,-4.6,6.7
2025-01-17,4,금,0,,1.3,-2.8,7.5
2025-01-18,5,토,1,토요일,1,-5.2,9.1
2025-01-19,6,일,1,일요일,1.7,-4.8,10.1
2025-01-20,0,월,0,,2.8,-1.4,8.5
2025-01-21,1,화,0,,2.5,-2.8,9.4
2025-01-22,2,수,0,,3.4,-1.9,9.4
2025-01-23,3,목,0,,2.9,-2.4,10.7
2025-01-24,4,금,0,,2.6,-4.1,10.4
2025-01-25,5,토,1,토요일,4.3,-2.7,11.6
2025-01-26,6,일,1,일요일,5.2,1.7,8.7
2025-01-27,0,월,1,임시공휴일,0.3,-2.4,3.8
2025-01-28,1,화,1,설날 전날,-1.4,-2.7,1.8
2025-01-29,2,수,1,설날,-2.6,-5.5,0.6
2025-01-30,3,목,1,설날 다음 날,-1.8,-6.5,3.9
2025-01-31,4,금,0,,1.9,-3,8.4
2025-02-01,5,토,1,토요일,3.5,1.2,7.8
2025-02-02,6,일,1,일요일,2.4,-1.3,9.1
2025-02-03,0,월,0,,-1.4,-6,1.9
2025-02-04,1,화,0,,-6.2,-8.2,-2.3
2025-02-05,2,수,0,,-6.4,-10.6,-1.6
2025-02-06,3,목,0,,-4.1,-10.2,2.2
2025-02-07,4,금,0,,-6.4,-9.8,-0.5
2025-02-08,5,토,1,토요일,-6.6,-11.3,-1
2025-02-09,6,일,1,일요일,-3.9,-9.8,2.6
2025-02-10,0,월,0,,-2.6,-7.6,3
2025-02-11,1,화,0,,0.3,-7.1,9.3
2025-02-12,2,수,0,,1.1,-1.6,4.4
2025-02-13,3,목,0,,1.1,-4.4,7.4
2025-02-14,4,금,0,,3.5,-3.1,11.1
2025-02-15,5,토,1,토요일,2.9,-2.9,8.6
2025-02-16,6,일,1,일요일,5.1,-0.7,11.9
2025-02-17,0,월,0,,1.3,-2.2,6.8
2025-02-18,1,화,0,,-0.9,-4.5,4.5
2025-02-19,2,수,0,,-1.6,-6.6,4
2025-02-20,3,목,0,,-1.9,-6.8,4.2
2025-02-21,4,금,0,,-1.5,-6.5,4.3
2025-02-22,5,토,1,토요일,-1,-5.4,4.1
2025-02-23,6,일,1,일요일,-2.7,-6.8,2.1
2025-02-24,0,월,0,,-0.7,-7.2,6.4
2025-02-25,1,화,0,,1.7,-5.3,7.6
2025-02-26,2,수,0,,5.3,0.4,11.8
2025-02-27,3,목,0,,6.6,-3.5,17
2025-02-28,4,금,0,,9.8,5.4,17
2025-03-01,5,토,1,3ㆍ1절|토요일,6.3,1.7,8.7
2025-03-02,6,일,1,일요일,9.7,5,17.4
2025-03-03,0,월,1,대체공휴일(3ㆍ1절),3.5,1.1,7
2025-03-04,1,화,0,,3.4,1.6,5.7
2025-03-05,2,수,0,,5.5,3.4,9.1
2025-03-06,3,목,0,,5.1,0.6,11
2025-03-07,4,금,0,,5.6,-1.6,12.7
2025-03-08,5,토,1,토요일,6.2,3,11.1
2025-03-09,6,일,1,일요일,6.8,-0.7,15
2025-03-10,0,월,0,,8.2,0.7,16.8
2025-03-11,1,화,0,,9.8,1,18.6
2025-03-12,2,수,0,,9.6,4.5,16
2025-03-13,3,목,0,,10.3,4.6,17.3
2025-03-14,4,금,0,,12.9,3.7,21.5
2025-03-15,5,토,1,토요일,9.8,7.1,14.2
2025-03-16,6,일,1,일요일,4.5,0.5,7.5
2025-03-17,0,월,0,,3.8,-0.9,9.6
2025-03-18,1,화,0,,1.2,-0.2,3.3
2025-03-19,2,수,0,,3.2,-2.1,9.1
2025-03-20,3,목,0,,7.6,-1.2,15.6
2025-03-21,4,금,0,,12.8,8,21.3
2025-03-22,5,토,1,토요일,14.9,7.5,22.8
2025-03-23,6,일,1,일요일,16.6,6.9,26.4
2025-03-24,0,월,0,,16.6,12.2,22.2
2025-03-25,1,화,0,,15.4,10.5,25.8
2025-03-26,2,수,0,,18.5,6,29.3
2025-03-27,3,목,0,,16.1,7.2,21.5
2025-03-28,4,금,0,,7.5,4.5,12.8
2025-03-29,5,토,1,토요일,3.9,0.3,9.1
2025-03-30,6,일,1,일요일,4.4,-1.5,9.7
2025-03-31,0,월,0,,8.1,1.3,14.6
2025-04-01,1,화,0,,10.3,1.9,18.9
2025-04-02,2,수,0,,9.6,3,18
2025-04-03,3,목,0,,10.3,3.3,18.3
2025-04-04,4,금,0,,11.7,7,18.9
2025-04-05,5,토,1,토요일,9.4,7.3,14.7
2025-04-06,6,일,1,일요일,10.7,4.7,18.5
2025-04-07,0,월,0,,13.8,3.2,21.8
2025-04-08,1,화,0,,15.6,9.8,21.6
2025-04-09,2,수,0,,13.9,5.6,21.7
2025-04-10,3,목,0,,14,10,19
2025-04-11,4,금,0,,16.2,5.8,26.1
2025-04-12,5,토,1,토요일,14.7,3.2,24
2025-04-13,6,일,1,일요일,5.8,1.9,10.3
2025-04-14,0,월,0,,5.1,3.5,9.2
2025-04-15,1,화,0,,8.8,2.8,15.6
2025-04-16,2,수,0,,16,4.5,25.4
2025-04-17,3,목,0,,21.8,13.7,28.3
2025-04-18,4,금,0,,21.4,17.4,26.4
2025-04-19,5,토,1,토요일,20.8,15.6,27
2025-04-20,6,일,1,일요일,17.6,13.7,23.9
2025-04-21,0,월,0,,21.5,15.1,27.7
2025-04-22,1,화,0,,17.7,16.5,20.2
2025-04-23,2,수,0,,17.5,13,24.6
2025-04-24,3,목,0,,15,9.7,22.6
2025-04-25,4,금,0,,12.7,5.8,19.5
2025-04-26,5,토,1,토요일,14.4,4.8,23.3
2025-04-27,6,일,1,일요일,17.2,9.6,25.1
2025-04-28,0,월,0,,15.3,9,22.7
2025-04-29,1,화,0,,14.7,6,22.5
2025-04-30,2,수,0,,18.6,7.9,28.4
2025-05-01,3,목,0,,14.8,10.6,21.4
2025-05-02,4,금,0,,13.6,8.1,19.8
2025-05-03,5,토,1,토요일,10.5,8.5,14.8
2025-05-04,6,일,1,일요일,14.3,6,21.4
2025-05-05,0,월,1,어린이날|부처님 오신 날,11.9,6.2,16.3
2025-05-06,1,화,1,대체공휴일(부처님 오신 날),13.1,8,17.7
2025-05-07,2,수,0,,14.7,6.7,22.4
2025-05-08,3,목,0,,18.2,9.1,26.5
2025-05-09,4,금,0,,15.4,12.7,17.8
2025-05-10,5,토,1,토요일,12.6,12,16.7
2025-05-11,6,일,1,일요일,15.4,11.7,21.4
2025-05-12,0,월,0,,17.7,10.2,24.6
2025-05-13,1,화,0,,19.3,11.1,27.4
2025-05-14,2,수,0,,21,11.5,28.7
2025-05-15,3,목,0,,21.6,19,24
2025-05-16,4,금,0,,20.5,17.2,24.3
2025-05-17,5,토,1,토요일,19.4,15.9,25.6
