철도운영기관명,선명,역명,출구번호,출구별 주요시설명,Latitude,Longitude,category
대전교통공사,1호선,갈마역,1,둔산중학교,36.3534178,127.3722374,교육
대전교통공사,1호선,갈마역,1,파랑새아파트,36.3560687,127.3761551,주거
대전교통공사,1호선,갈마역,1,향촌아파트,36.355769,127.375786,주거
대전교통공사,1호선,갈마역,1,갈마공원,36.3563554,127.3731037,체육문화
대전교통공사,1호선,갈마역,1,둔산여자고등학교,36.3534121,127.3734975,교육
대전교통공사,1호선,갈마역,1,올림픽기념 국민생활관,36.3547557,127.3732193,체육문화
대전교통공사,1호선,갈마역,2,갈마공원,36.3563554,127.3731037,체육문화
대전교통공사,1호선,갈마역,2,갈마초등학교,36.3564105,127.3693765,교육
대전교통공사,1호선,갈마역,2,둔산중앙침례교회,36.3518838,127.3752981,종교
대전교통공사,1호선,갈마역,3,누리아파트,36.3589986,127.3713754,주거
대전교통공사,1호선,갈마역,3,갑천중학교,36.3616321,127.3691511,교육
대전교통공사,1호선,갈마역,3,서대전고등학교,36.3604929,127.3692303,교육
대전교통공사,1호선,갈마역,3,월평주공아파트1 2 3단지,36.362364,127.370352,주거
대전교통공사,1호선,갈마역,4,무지개아파트,36.3588726,127.3754943,주거
대전교통공사,1호선,갈마역,4,성룡초등학교,36.3616266,127.3735854,교육
대전교통공사,1호선,갈마역,4,황실타운아파트,36.3599096,127.371069,주거
대전교통공사,1호선,갈마역,4,둔산선사유적지,36.3607227,127.3783182,체육문화
대전교통공사,1호선,갈마역,4,무궁화아파트,36.3577577,127.3867458,주거
대전교통공사,1호선,갈마역,4,성천초등학교,36.3630213,127.3733535,교육
대전교통공사,1호선,갈마역,4,남선중학교,36.3628566,127.3722578,교육
대전교통공사,1호선,갈마역,4,한아름아파트,36.362354,127.375916,주거
대전교통공사,1호선,갈마역,4,백합아파트,36.3616171,127.3756483,주거
대전교통공사,1호선,갈마역,4,샛별아파트,36.359948,127.375991,주거
대전교통공사,1호선,갑천역,1,월평1동 행정복지센터,36.3546863,127.357604,관공서
대전교통공사,1호선,갑천역,1,월평타운아파트,36.352472,127.3592053,주거
대전교통공사,1호선,갑천역,1,월평초등학교,36.3556126,127.3578837,교육
대전교통공사,1호선,갑천역,1,월평1동 우체국,36.3545498,127.357383,관공서
대전교통공사,1호선,갑천역,2,도시철도공사,36.3483939,127.3527457,교통
대전교통공사,1호선,갑천역,3,갑천둔치,36.354679,127.35459,체육문화
대전교통공사,1호선,구암역,1,유성네거리 방면,36.3537719,127.3414124,방향지시
대전교통공사,1호선,구암역,2,유성고등학교,36.3493813,127.3349995,교육
대전교통공사,1호선,구암역,2,구암 119안전센터,36.3489251,127.3291912,관공서
대전교통공사,1호선,구암역,3,유성구 보건소,36.3538212,127.3285559,관공서
대전교통공사,1호선,구암역,3,진잠 방면,36.3038433,127.293403,방향지시
대전교통공사,1호선,구암역,3,유성시외버스터미널,36.355593,127.3347225,교통
대전교통공사,1호선,구암역,3,장대푸르지오 아파트,36.3609936,127.3327275,주거
대전교통공사,1호선,노은역,1,월드컵경기장역 방면,36.366866,127.317839,체육문화
대전교통공사,1호선,노은역,2,열매마을 1 4단지,36.3523964,127.4442534,주거
대전교통공사,1호선,노은역,2,지족고등학교,36.378074,127.3155531,교육
대전교통공사,1호선,노은역,3,열매마을 3 5 6단지,36.3523964,127.4442534,주거
대전교통공사,1호선,노은역,3,KEB 외환은행 (노은지점),36.3540841,127.3973402,금융
대전교통공사,1호선,노은역,3,유성 선병원/국제검진센터,36.3751752,127.3248525,의료
대전교통공사,1호선,노은역,3,노은파출소,36.3577577,127.3867458,관공서
대전교통공사,1호선,노은역,3,은구비공원,36.3740469,127.3241357,체육문화
대전교통공사,1호선,노은역,3,지족중학교,36.384106,127.319501,교육
대전교통공사,1호선,노은역,3,상지초등학교,36.3752309,127.3221809,교육
대전교통공사,1호선,노은역,4,헌혈센터,36.3577577,127.3867458,의료
대전교통공사,1호선,노은역,4,대전선사박물관,36.3717138,127.3238858,체육문화
대전교통공사,1호선,노은역,4,열매마을 7~9단지,36.3523964,127.4442534,주거
대전교통공사,1호선,대동역,1,신흥동 방면,36.3228975,127.4438795,방향지시
대전교통공사,1호선,대동역,1,충남중학교,36.3247987,127.4440678,교육
대전교통공사,1호선,대동역,2,신흥초등학교,36.3255998,127.4398675,교육
대전교통공사,1호선,대동역,2,새들뫼 휴먼시아 아파트,36.3274512,127.4420593,주거
대전교통공사,1호선,대동역,3,원동 방면,36.3273777,127.4341776,방향지시
대전교통공사,1호선,대동역,4,신인동 방면,36.3225956,127.4411781,방향지시
대전교통공사,1호선,대동역,5,대동 행정복지센터,36.330014,127.4428341,관공서
대전교통공사,1호선,대동역,5,소제동방면,36.3347145,127.4383733,방향지시
대전교통공사,1호선,대동역,6,자양초등학교,36.331254,127.443943,교육
대전교통공사,1호선,대동역,6,우송 중/고등학교,36.334799,127.442075,교육
대전교통공사,1호선,대동역,6,우송대학교 서캠퍼스,36.3381738,127.4458014,교육
대전교통공사,1호선,대동역,6,우송정보대학,36.3357496,127.4530732,교육
대전교통공사,1호선,대동역,7,동광초등학교,36.336998,127.4498469,교육
대전교통공사,1호선,대동역,7,자양동 방면,36.3371843,127.4486807,방향지시
대전교통공사,1호선,대동역,7,우송대학교 동캠퍼스,36.3344412,127.451952,교육
대전교통공사,1호선,대동역,8,한밭여자중학교,36.32986,127.4489305,교육
대전교통공사,1호선,대동역,8,대전여자고등학교,36.3299155,127.4465696,교육
대전교통공사,1호선,대동역,8,대동 펜타뷰 아파트,36.328813,127.444261,주거
대전교통공사,1호선,대동역,8,대동초등학교,36.3251661,127.4468753,교육
대전교통공사,1호선,대동역,8,대전대학교,36.3363135,127.4582327,교육
대전교통공사,1호선,대전역,1,대전역지구대,36.3305761,127.4342484,관공서
대전교통공사,1호선,대전역,1,원동 방면,36.3273777,127.4341776,방향지시
대전교통공사,1호선,대전역,1,역전시장,36.3303319,127.4340986,상업
대전교통공사,1호선,대전역,2,대전우체국,36.32761,127.4342653,관공서
대전교통공사,1호선,대전역,2,지하상가,36.3271167,127.4215289,상업
대전교통공사,1호선,대전역,2,중앙로,36.3261113,127.4182059,방향지시
대전교통공사,1호선,대전역,2,국제교류센터(DCC),36.375216,127.391775,방향지시
대전교통공사,1호선,대전역,2,중앙시장,36.3577577,127.3867458,상업
대전교통공사,1호선,대전역,2,원동 119안전센터,36.3267212,127.4328488,관공서
대전교통공사,1호선,대전역,3,삼성동 방면,36.3394493,127.4251646,방향지시
대전교통공사,1호선,대전역,3,대전역,36.331519,127.433637,교통
대전교통공사,1호선,대전역,4,대전역(서광장),36.3309613,127.4331747,교통
대전교통공사,1호선,대전역,5,소제동 방면,36.3347145,127.4383733,방향지시
대전교통공사,1호선,대전역,5,중앙동 행정복지센터,36.3345815,127.4388202,관공서
대전교통공사,1호선,대전역,5,동서관 통로,36.3577577,127.3867458,교통
대전교통공사,1호선,반석역,1,반석네거리,36.386494,127.318383,방향지시
대전교통공사,1호선,반석역,2,반석고등학교,36.3868521,127.3134984,교육
대전교통공사,1호선,반석역,2,반석마을 1 2 5단지,36.388267,127.311636,주거
대전교통공사,1호선,반석역,2,반석초등학교,36.3899044,127.313261,교육
대전교통공사,1호선,반석역,3,칠성대 방면,36.3909508,127.3034428,방향지시
대전교통공사,1호선,반석역,3,외삼초등학교,36.3926258,127.3106343,교육
대전교통공사,1호선,반석역,3,반석마을 4단지,36.3920749,127.3095607,주거
대전교통공사,1호선,반석역,4,반석역 환승주차장,36.392463,127.3134813,교통
대전교통공사,1호선,반석역,4,외삼중학교,36.3939887,127.3101087,교육
대전교통공사,1호선,반석역,4,반석마을 6~8단지,36.3577577,127.3867458,주거
대전교통공사,1호선,반석역,5,대전도시철도공사 외삼기지,36.3483939,127.3527457,교통
대전교통공사,1호선,반석역,5,세종시 방면,36.3580758,127.3056909,방향지시
대전교통공사,1호선,반석역,5,조치원 방면,36.3577577,127.3867458,방향지시
대전교통공사,1호선,반석역,6,세종시 BRT버스 승강장,36.469828,127.272801,교통
대전교통공사,1호선,반석역,6,송림마을 1단지,36.3886438,127.3184135,주거
대전교통공사,1호선,서대전네거리역,1,충남대학교병원,36.3167707,127.4162265,교육
대전교통공사,1호선,서대전네거리역,1,서대전우체국,36.320666,127.4141285,관공서
대전교통공사,1호선,서대전네거리역,2,대전CBS,36.321178,127.4097465,기타
대전교통공사,1호선,서대전네거리역,2,서대전청소년광장,36.322517,127.403933,교통
대전교통공사,1호선,서대전네거리역,2,대전글꽃중학교,36.3184573,127.4091354,교육
대전교통공사,1호선,서대전네거리역,2,대전글꽃초등학교,36.3186792,127.4102708,교육
대전교통공사,1호선,서대전네거리역,2,백화점 세이,36.320964,127.4089577,상업
대전교통공사,1호선,서대전네거리역,2,삼익아파트,36.318671,127.406256,주거
대전교통공사,1호선,서대전네거리역,2,상아맨션,36.3577577,127.3867458,기타
대전교통공사,1호선,서대전네거리역,2,문화마을아파트,36.3196657,127.4098313,주거
대전교통공사,1호선,서대전네거리역,2,센트럴파크 아파트,36.3160225,127.409144,주거
대전교통공사,1호선,서대전네거리역,3,서대전역 방면,36.322517,127.403933,방향지시
대전교통공사,1호선,서대전네거리역,3,오류시장,36.3217168,127.4078134,상업
대전교통공사,1호선,서대전네거리역,3,오류동 우체국,36.3221001,127.4093262,관공서
대전교통공사,1호선,서대전네거리역,4,오류초등학교,36.32519,127.4046841,교육
대전교통공사,1호선,서대전네거리역,4,삼성아파트,36.3239433,127.4073235,주거
대전교통공사,1호선,서대전네거리역,5,미르마을아파트,36.3250204,127.4135699,주거
대전교통공사,1호선,서대전네거리역,5,호수돈여자 중학교,36.3267161,127.4136298,교육
대전교통공사,1호선,서대전네거리역,5,오룡역네거리 방면,36.328573,127.405055,방향지시
대전교통공사,1호선,서대전네거리역,5,서대전초등학교,36.3266915,127.410676,교육
대전교통공사,1호선,서대전네거리역,5,용두동 행정복지센터,36.3251654,127.4103788,관공서
대전교통공사,1호선,서대전네거리역,5,호수돈여자 고등학교,36.3264621,127.4146127,교육
대전교통공사,1호선,서대전네거리역,6,선화센트럴뷰 아파트,36.3239807,127.4168384,주거
대전교통공사,1호선,서대전네거리역,6,용두시장,36.3231935,127.4132952,상업
대전교통공사,1호선,서대전네거리역,7,서대전지구대,36.3224436,127.4140451,관공서
대전교통공사,1호선,서대전네거리역,7,대전충남지방병무청,36.3224436,127.4147117,관공서
