철도운영기관명,선명,역명,Latitude,Longitude,역구성순서,구간키로,기점키로,승강장 형태,층수,연면적(제곱미터),도로명주소
대전교통공사,1호선,판암역,36.31697917,127.4584363,1,0,0,복합식(곡선),지하2,6333,대전광역시 동구 옥천로 지하162
대전교통공사,1호선,신흥역,36.31953191,127.4486822,2,0.938,0.938,상대식(직선),지하3,6729,대전광역시 동구 옥천로 지하70
대전교통공사,1호선,대동역,36.32954505,127.4428846,3,1.275,2.213,섬식(곡선),지하3,10239,대전광역시 동구 계족로 지하176
대전교통공사,1호선,대전역,36.3313335,127.4330053,4,1.007,3.22,섬식(직선),지하5,14069,대전광역시 동구 중앙로 지하218
대전교통공사,1호선,중앙로역,36.32866376,127.4257569,5,0.828,4.048,상대식(직선),지하5,7589,대전광역시 중구 중앙로 지하145
대전교통공사,1호선,중구청역,36.32482807,127.4197222,6,0.696,4.744,섬식(직선),지하5,9749,대전광역시 중구 중앙로 지하71
대전교통공사,1호선,서대전네거리역,36.32240188,127.4125374,7,0.817,5.561,섬식(직선),지하4,10970,대전광역시 중구 계룡로 지하889
대전교통공사,1호선,오룡역,36.32870061,127.4047745,8,0.925,6.486,상대식(직선),지하2,7543,대전광역시 중구 계룡로 지하 793
대전교통공사,1호선,용문역,36.33818243,127.3935513,9,1.492,7.978,상대식(직선),지하2,7773,대전광역시 서구 계룡로 지하644
대전교통공사,1호선,탄방역,36.34552931,127.3845428,10,1.194,9.172,상대식(직선),지하2,6194,대전광역시 서구 문정로48번길 지하19
대전교통공사,1호선,시청역,36.35161382,127.3868003,11,0.754,9.926,상대식(직선),지하2,9343,대전광역시 서구 둔산중로 지하55
대전교통공사,1호선,정부청사역,36.35750757,127.3812148,12,0.989,10.915,상대식(직선),지하2,8502,대전광역시 서구 한밭대로 지하744
대전교통공사,1호선,갈마역,36.35767777,127.372971,13,0.739,11.654,상대식(직선),지하2,5690,대전광역시 서구 한밭대로 지하666
대전교통공사,1호선,월평역,36.35864978,127.3616558,14,0.755,12.409,상대식(직선),지하2,5663,대전광역시 서구 한밭대로 지하595
대전교통공사,1호선,갑천역,36.35470577,127.3545965,15,1.036,13.445,상대식(직선),지하2,6529,대전광역시 서구 갑천도시고속도로 지하1833
대전교통공사,1호선,유성온천역,36.35375278,127.3414459,16,1.274,14.719,상대식(직선),지하2,7143,대전광역시 유성구 계룡로 지하97
대전교통공사,1호선,구암역,36.35684663,127.3308307,17,1.054,15.773,상대식(직선),지상2/지하1,5072,대전광역시 유성구 유성대로 703
대전교통공사,1호선,현충원역,36.35906982,127.3219268,18,0.844,16.617,상대식(직선),지하2,5362,대전광역시 유성구 현충원로 지하455
대전교통공사,1호선,월드컵경기장역,36.36697501,127.3178588,19,1.041,17.658,상대식(직선),지하2,9182,대전광역시 유성구 한밭대로 지하155
대전교통공사,1호선,노은역,36.37406708,127.3179211,20,0.812,18.47,상대식(직선),지하2,5817,대전광역시 유성구 노은로 지하161
대전교통공사,1호선,지족역,36.38396672,127.3195106,21,1.147,19.617,상대식(곡선),지상1/지하2,5444,대전광역시 유성구 노은로 273
대전교통공사,1호선,반석역,36.39225258,127.3145732,22,0.925,20.542,복합식(직선),지하2,6732,대전광역시 유성구 북유성대로 지하303
