역명,월,요일,구분,03-04시,04-05시,05-06시,06-07시,07-08시,08-09시,09-10시,10-11시,11-12시,12-13시,13-14시,14-15시,15-16시,16-17시,17-18시,18-19시,19-20시,20-21시,21-22시,22-23시,23-00시,00-01시,01-02시,02-03시
갈마역,1,금요일,승차,0.0,0.0,58.8,95.4,236.6,466.4,206.2,142.6,184.0,171.6,189.2,157.8,173.2,188.4,197.2,221.4,120.2,87.2,73.0,49.8,40.6,1.8,0.0,0.0
갈마역,1,금요일,하차,0.0,0.0,17.8,32.8,51.8,120.6,89.8,108.6,125.8,152.4,164.0,161.8,218.6,307.6,320.2,447.0,247.2,173.2,166.4,144.6,100.2,14.2,0.0,0.0
갈마역,1,금요일,합계,0.0,0.0,76.6,128.2,288.4,587.0,296.0,251.2,309.8,324.0,353.2,319.6,391.8,496.0,517.4,668.4,367.4,260.4,239.4,194.4,140.8,16.0,0.0,0.0
갈마역,1,목요일,승차,0.0,0.0,63.0,99.2,226.0,389.4,186.2,133.2,146.4,138.0,158.4,131.4,140.6,139.2,172.4,181.8,91.2,71.4,70.6,39.0,30.4,1.4,0.0,0.0
갈마역,1,목요일,하차,0.0,0.0,17.6,33.6,47.4,110.8,82.4,79.4,112.4,140.2,145.2,151.8,167.2,202.6,265.0,365.6,207.2,147.8,150.2,133.2,81.0,10.2,0.0,0.0
갈마역,1,목요일,합계,0.0,0.0,80.6,132.8,273.4,500.2,268.6,212.6,258.8,278.2,303.6,283.2,307.8,341.8,437.4,547.4,298.4,219.2,220.8,172.2,111.4,11.6,0.0,0.0
갈마역,1,수요일,승차,0.0,0.0,58.0,82.6,182.4,340.0,173.0,115.8,133.4,133.6,136.4,124.6,127.0,139.4,154.8,162.6,94.4,76.8,61.4,41.2,22.2,1.0,0.0,0.0
갈마역,1,수요일,하차,0.0,0.0,14.8,26.6,43.2,99.4,78.2,80.8,108.0,131.2,125.8,142.0,156.6,189.4,223.6,314.4,178.6,138.4,137.2,141.6,70.4,10.0,0.0,0.0
갈마역,1,수요일,합계,0.0,0.0,72.8,109.2,225.6,439.4,251.2,196.6,241.4,264.8,262.2,266.6,283.6,328.8,378.4,477.0,273.0,215.2,198.6,182.8,92.6,11.0,0.0,0.0
갈마역,1,월요일,승차,0.0,0.0,69.0,96.75,199.0,391.0,201.5,143.75,159.25,151.0,170.75,149.5,153.25,180.5,183.5,161.5,90.75,70.75,71.25,40.0,29.25,2.0,0.0,0.0
갈마역,1,월요일,하차,0.0,0.0,19.5,34.5,43.75,129.25,98.75,96.5,124.0,149.75,148.25,166.25,171.0,199.5,256.0,364.75,191.0,138.25,120.75,115.25,78.75,13.25,0.0,0.0
갈마역,1,월요일,합계,0.0,0.0,88.5,131.25,242.75,520.25,300.25,240.25,283.25,300.75,319.0,315.75,324.25,380.0,439.5,526.25,281.75,209.0,192.0,155.25,108.0,15.25,0.0,0.0
갈마역,1,일요일,승차,0.0,0.0,33.5,47.75,51.0,100.5,137.5,163.0,152.75,142.0,160.5,144.5,137.5,124.75,131.0,108.0,95.5,59.5,50.25,26.0,28.0,0.75,0.0,0.0
갈마역,1,일요일,하차,0.0,0.0,14.0,12.0,20.25,35.5,47.0,95.75,90.25,125.5,137.0,158.0,178.25,162.5,211.75,152.5,140.5,118.75,118.75,107.75,84.5,9.25,0.0,0.0
갈마역,1,일요일,합계,0.0,0.0,47.5,59.75,71.25,136.0,184.5,258.75,243.0,267.5,297.5,302.5,315.75,287.25,342.75,260.5,236.0,178.25,169.0,133.75,112.5,10.0,0.0,0.0
갈마역,1,토요일,승차,0.0,0.0,54.25,60.75,120.25,167.75,185.5,195.75,192.0,200.75,195.0,173.0,181.25,203.25,172.25,140.25,89.5,85.25,65.0,42.0,43.75,1.25,0.0,0.0
갈마역,1,토요일,하차,0.0,0.0,19.75,21.5,30.75,61.25,75.75,98.5,141.0,171.25,197.25,192.75,210.25,211.25,264.75,223.25,162.0,149.25,122.75,124.0,106.5,11.5,0.0,0.0
갈마역,1,토요일,합계,0.0,0.0,74.0,82.25,151.0,229.0,261.25,294.25,333.0,372.0,392.25,365.75,391.5,414.5,437.0,363.5,251.5,234.5,187.75,166.0,150.25,12.75,0.0,0.0
갈마역,1,화요일,승차,0.0,0.25,60.5,90.25,219.5,401.5,189.75,165.0,145.0,142.0,169.0,142.25,155.25,149.0,167.5,165.75,96.5,69.75,75.0,41.0,25.5,1.25,0.0,0.0
갈마역,1,화요일,하차,0.0,0.0,17.0,32.25,48.0,120.5,83.5,93.25,121.0,139.0,128.0,151.25,169.0,198.5,263.25,385.5,190.25,128.75,132.75,127.25,84.25,13.75,0.0,0.0
갈마역,1,화요일,합계,0.0,0.25,77.5,122.5,267.5,522.0,273.25,258.25,266.0,281.0,297.0,293.5,324.25,347.5,430.75,551.25,286.75,198.5,207.75,168.25,109.75,15.0,0.0,0.0
갈마역,2,금요일,승차,0.0,0.0,66.5,106.75,261.0,502.25,213.25,173.75,168.75,172.0,189.0,158.0,167.5,169.75,227.0,247.75,139.25,98.25,76.25,49.0,41.25,1.5,0.0,0.0
갈마역,2,금요일,하차,0.0,0.0,18.25,34.75,56.75,125.25,92.75,91.75,137.25,163.5,190.5,157.5,213.25,251.0,321.75,472.25,266.5,194.0,187.75,168.0,109.25,22.75,0.0,0.0
갈마역,2,금요일,합계,0.0,0.0,84.75,141.5,317.75,627.5,306.0,265.5,306.0,335.5,379.5,315.5,380.75,420.75,548.75,720.0,405.75,292.25,264.0,217.0,150.5,24.25,0.0,0.0
갈마역,2,목요일,승차,0.0,0.0,57.75,104.75,259.75,500.0,220.0,161.0,148.75,155.5,171.5,165.5,157.25,157.5,216.5,199.0,107.75,91.25,82.75,45.0,37.75,2.75,0.0,0.0
갈마역,2,목요일,하차,0.0,0.0,18.75,39.25,53.0,122.75,88.25,91.25,129.0,160.5,157.5,166.25,192.25,223.0,287.25,442.0,241.75,167.5,184.75,151.5,101.5,14.5,0.0,0.0
갈마역,2,목요일,합계,0.0,0.0,76.5,144.0,312.75,622.75,308.25,252.25,277.75,316.0,329.0,331.75,349.5,380.5,503.75,641.0,349.5,258.75,267.5,196.5,139.25,17.25,0.0,0.0
